"@timestamp","_id","_index","_score","_type","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.dataset","event.duration","event.module","host.architecture","host.cpu.pct","host.hostname","host.id","host.ip","host.mac","host.name","host.network.in.bytes","host.network.in.packets","host.network.out.bytes","host.network.out.packets","host.os.build","host.os.family","host.os.kernel","host.os.name","host.os.platform","host.os.type","host.os.version","metricset.name","metricset.period","process.args","process.command_line","process.cpu.pct","process.cpu.start_time","process.memory.pct","process.name","process.pgid","process.pid","process.ppid","process.state","service.type","system.cpu.cores","system.cpu.idle.norm.pct","system.cpu.idle.pct","system.cpu.system.norm.pct","system.cpu.system.pct","system.cpu.total.norm.pct","system.cpu.total.pct","system.cpu.user.norm.pct","system.cpu.user.pct","system.filesystem.available","system.filesystem.device_name","system.filesystem.free","system.filesystem.mount_point","system.filesystem.total","system.filesystem.type","system.filesystem.used.bytes","system.filesystem.used.pct","system.fsstat.count","system.fsstat.total_files","system.fsstat.total_size.free","system.fsstat.total_size.total","system.fsstat.total_size.used","system.memory.actual.free","system.memory.actual.used.bytes","system.memory.actual.used.pct","system.memory.free","system.memory.swap.free","system.memory.swap.total","system.memory.swap.used.bytes","system.memory.swap.used.pct","system.memory.total","system.memory.used.bytes","system.memory.used.pct","system.network.in.bytes","system.network.in.dropped","system.network.in.errors","system.network.in.packets","system.network.name","system.network.out.bytes","system.network.out.dropped","system.network.out.errors","system.network.out.packets","system.process.cmdline","system.process.cpu.start_time","system.process.cpu.total.norm.pct","system.process.cpu.total.pct","system.process.cpu.total.value","system.process.memory.rss.bytes","system.process.memory.rss.pct","system.process.memory.size","system.process.state","system.process.summary.running","system.process.summary.sleeping","system.process.summary.total","system.process.summary.unknown","system.socket.summary.all.count","system.socket.summary.all.listening","system.socket.summary.tcp.all.close_wait","system.socket.summary.tcp.all.closing","system.socket.summary.tcp.all.count","system.socket.summary.tcp.all.established","system.socket.summary.tcp.all.fin_wait1","system.socket.summary.tcp.all.fin_wait2","system.socket.summary.tcp.all.last_ack","system.socket.summary.tcp.all.listening","system.socket.summary.tcp.all.syn_recv","system.socket.summary.tcp.all.syn_sent","system.socket.summary.tcp.all.time_wait","system.socket.summary.udp.all.count","user.name"
"Dec 13, 2021 @ 21:54:44.285",XhfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.memory","51.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0",memory,"10,000",,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,"486.7MB","5.5GB","91.99%","486.7MB","4.6GB","21.4GB","16.8GB","78.48%","5.9GB","5.5GB","91.99%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 13, 2021 @ 21:54:44.284",VxfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.process","47.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0",process,"10,000","[""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe""]","C:\Program Files\Google\Chrome\Application\chrome.exe","4.55%","Dec 12, 2021 @ 14:04:02.195","2.84%","chrome.exe",0,7828,7908,running,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Program Files\Google\Chrome\Application\chrome.exe","Dec 12, 2021 @ 14:04:02.195","4.55%","36.44%","2,757,593","172.3MB","2.84%","185.4MB",running,,,,,,,,,,,,,,,,,,,"DESKTOP-C8ME1NJ\Tameem"
"Dec 13, 2021 @ 21:54:44.284",WBfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.process","47.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0",process,"10,000","[""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"",""--type=renderer"",""--display-capture-permissions-policy-allowed"",""--origin-trial-disabled-features=CaptureHandle"",""--field-trial-handle=1720,10828991569892211846,3870819222824233181,131072"",""--lang=en-US"",""--device-scale-factor=1.25"",""--num-raster-threads=4"",""--enable-main-frame-before-activation"",""--renderer-client-id=2376"",""--mojo-platform-channel-handle=3892"",""/prefetch:1""]","C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=2376 --mojo-platform-channel-handle=3892 /prefetch:1","4.54%","Dec 13, 2021 @ 21:52:45.189","6.2%","chrome.exe",0,20556,7828,running,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=2376 --mojo-platform-channel-handle=3892 /prefetch:1","Dec 13, 2021 @ 21:52:45.189","4.54%","36.3%","48,530","376.7MB","6.2%","354.2MB",running,,,,,,,,,,,,,,,,,,,"DESKTOP-C8ME1NJ\Tameem"
"Dec 13, 2021 @ 21:54:44.284",WRfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.process","47.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0",process,"10,000","[""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"",""--type=gpu-process"",""--field-trial-handle=1720,10828991569892211846,3870819222824233181,131072"",""--gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAIAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAANAAAAEAAAAAAAAAABAAAADQAAAAgAAAAAAAAACAAAAAAAAAA="",""--mojo-platform-channel-handle=1728"",""/prefetch:2""]","C:\Program Files\Google\Chrome\Application\chrome.exe --type=gpu-process --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAIAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAANAAAAEAAAAAAAAAABAAAADQAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1728 /prefetch:2","2.29%","Dec 12, 2021 @ 14:04:02.499","1.92%","chrome.exe",0,18440,7828,running,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=gpu-process --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAIAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAANAAAAEAAAAAAAAAABAAAADQAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1728 /prefetch:2","Dec 12, 2021 @ 14:04:02.499","2.29%","18.29%","3,369,358","116.6MB","1.92%","422.9MB",running,,,,,,,,,,,,,,,,,,,"DESKTOP-C8ME1NJ\Tameem"
"Dec 13, 2021 @ 21:54:44.284",WhfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.process","47.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0",process,"10,000",,,"1.82%","Dec 11, 2021 @ 20:57:41.304","30.07%",vmmem,0,5292,11832,running,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dec 11, 2021 @ 20:57:41.304","1.82%","14.54%","17,636,359","1.8GB","30.07%","4.7GB",running,,,,,,,,,,,,,,,,,,,"NT VIRTUAL MACHINE\336934FD-687B-4F13-8123-2F15C3F87E8E"
"Dec 13, 2021 @ 21:54:44.284",WxfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.process","47.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0",process,"10,000","[""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"",""--type=utility"",""--utility-sub-type=network.mojom.NetworkService"",""--field-trial-handle=1720,10828991569892211846,3870819222824233181,131072"",""--lang=en-US"",""--service-sandbox-type=none"",""--mojo-platform-channel-handle=2052"",""/prefetch:8""]","C:\Program Files\Google\Chrome\Application\chrome.exe --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --lang=en-US --service-sandbox-type=none --mojo-platform-channel-handle=2052 /prefetch:8","1.48%","Dec 12, 2021 @ 14:04:02.513","0.51%","chrome.exe",0,18560,7828,running,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --lang=en-US --service-sandbox-type=none --mojo-platform-channel-handle=2052 /prefetch:8","Dec 12, 2021 @ 14:04:02.513","1.48%","11.88%","807,640","31.2MB","0.51%","29.3MB",running,,,,,,,,,,,,,,,,,,,"DESKTOP-C8ME1NJ\Tameem"
"Dec 13, 2021 @ 21:54:44.284",XBfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.process","47.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0",process,"10,000","[""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"",""--type=renderer"",""--display-capture-permissions-policy-allowed"",""--origin-trial-disabled-features=CaptureHandle"",""--field-trial-handle=1720,10828991569892211846,3870819222824233181,131072"",""--lang=en-US"",""--device-scale-factor=1.25"",""--num-raster-threads=4"",""--enable-main-frame-before-activation"",""--renderer-client-id=2385"",""--mojo-platform-channel-handle=11732"",""/prefetch:1""]","C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=2385 --mojo-platform-channel-handle=11732 /prefetch:1","0%","Dec 13, 2021 @ 21:54:40.277","3.01%","chrome.exe",0,14804,7828,running,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=2385 --mojo-platform-channel-handle=11732 /prefetch:1","Dec 13, 2021 @ 21:54:40.277","0%","0%",0,"182.7MB","3.01%","136.4MB",running,,,,,,,,,,,,,,,,,,,"DESKTOP-C8ME1NJ\Tameem"
"Dec 13, 2021 @ 21:54:44.284",XRfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.process","47.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0",process,"10,000","[""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"",""--type=renderer"",""--display-capture-permissions-policy-allowed"",""--origin-trial-disabled-features=CaptureHandle"",""--field-trial-handle=1720,10828991569892211846,3870819222824233181,131072"",""--lang=en-US"",""--device-scale-factor=1.25"",""--num-raster-threads=4"",""--enable-main-frame-before-activation"",""--renderer-client-id=2383"",""--mojo-platform-channel-handle=3932"",""/prefetch:1""]","C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=2383 --mojo-platform-channel-handle=3932 /prefetch:1","0%","Dec 13, 2021 @ 21:54:34.322","1.95%","chrome.exe",0,20064,7828,running,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1720,10828991569892211846,3870819222824233181,131072 --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=2383 --mojo-platform-channel-handle=3932 /prefetch:1","Dec 13, 2021 @ 21:54:34.322","0%","0%",0,"118.6MB","1.95%","74.5MB",running,,,,,,,,,,,,,,,,,,,"DESKTOP-C8ME1NJ\Tameem"
"Dec 13, 2021 @ 21:54:44.271",VhfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.process.summary","30.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0","process_summary","10,000",,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,0,278,3,,,,,,,,,,,,,,,
"Dec 13, 2021 @ 21:54:44.244",ThfKtX0BiP2CWrxqedGI,"metricbeat-7.12.0-2021.12.11-000001",,"_doc","406c19c3-966b-4e0f-a697-6cf959e3f8d7","DESKTOP-C8ME1NJ","cddd2663-a994-4f26-8550-77046d6a397f","DESKTOP-C8ME1NJ",metricbeat,"7.12.0","1.8.0","system.network","5.0",system,"x86_64",,"DESKTOP-C8ME1NJ","65fc8418-6250-4448-8dee-e4f63586e6f6","[""fe80::f535:db2e:a920:d89"",""169.254.13.137"",""fe80::f58c:9497:bc17:23a"",""172.26.144.1"",""fe80::3142:dcd0:3416:b23b"",""169.254.178.59"",""fe80::39f8:4ab6:5bc8:d81d"",""169.254.216.29"",""2a02:ab88:c81:7380::b144"",""2a02:ab88:c81:7380:2e:f2af:818c:8e49"",""2a02:ab88:c81:7380:d8af:c5:1d66:b9f7"",""fe80::2e:f2af:818c:8e49"",""192.168.0.102"",""fe80::3cb8:3295:403:35"",""172.22.240.1""]","[""f0:2f:74:a5:41:67"",""00:15:5d:2e:d1:19"",""ee:2e:98:53:ae:b9"",""fe:2e:98:53:ae:b9"",""ec:2e:98:53:ae:b9"",""00:15:5d:c4:0b:ec""]","DESKTOP-C8ME1NJ",,,,,"19043.1348",windows,"10.0.19041.1348 (WinBuild.160101.0800)","Windows 10 Pro",windows,windows,"10.0",network,"10,000",,,,,,,,,,,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0B,0,0,0,Ethernet,0B,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
